PC9,VS_GLOBAL,SKU_1_2_SEARS,SKU_2_2_LIVERPOOL,MARCA,GENDER ,COLLECTION,USE_TYPE,LINE,NAME,DESCRIPTION,EXTENDED_DESCRIPTION,MATERIAL,COLOR,SPANISH_COLOR,SHOOTING,STATUS
676740001,67674-0001,-,-,Levi's,Women's, Misses ,B sico,Tops,Jada Top,Drop, Jada top es ideal para usar en un d¡a soleado junto tus jeans favoritos.,100% Algod¢n,Mccoll Bright White,Drop,SI,-
676720003,67672-0003,4130647,1080118367,Levi's,Women's, Misses ,B sico,Tops,Millie Top,"Blusa, cuello redondo con escote en v, cintillas ajustables, manga larga. ", Millie Top ideal para usar en un d¡a soleado junto tus jeans favoritos.,"58% Algod¢n, 42% Modal",Bright White,Blanco,SI,-
676720002,67672-0002,-,-,Levi's,Women's, Misses ,B sico,Tops,Millie Top,Drop, Millie Top ideal para usar en un d¡a soleado junto tus jeans favoritos.,"55% Lino, 45% Algod¢n",Medium Authentic,Drop,SI,-
676730001,67673-0001,4129187,-,Levi's,Women's, Misses ,B sico,Tops,Nafisa Top,"Blusa, manga 3/4, cuello tipo cuadrado, el stico en cintura y espalda.", Nafisa Top es ideal para usar en un d¡a soleado junto tus jeans favoritos.,100% Algod¢n,Spring Blooms Lemon Verbena,Amarillo,SI,-
284010000,28401-0000,-,-,Levi's,Women's, Misses ,B sico,Bottoms,Slimming Straight," Pantal¢n, cintura media, pierna recta, mezclilla, tecnolog¡a tummy-slimming para comprimir el abdomen. ","ÿNuestros  Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","89% Algod¢n, 9% Poli‚ster, 2% Elastano",Pacific Street,Azul Obscuro,NO,-
283990008,28399-0008,-,-,Levi's,Women's, Misses ,B sico,Bottoms,Slimming Skinny," Pantal¢n, cintura media, pierna tipo skinny, mezclilla, tecnolog¡a tummy-slimming para comprimir el abdomen. ","ÿNuestros  Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","79% Algod¢n, 18% Poli‚ster, 3% Elastano",Ginger Blue,Azul Claro,NO,-
283990000,28399-0000,-,-,Levi's,Women's, Misses ,B sico,Bottoms,Slimming Skinny," Pantal¢n, cintura media, pierna tipo skinny, mezclilla, tecnolog¡a tummy-slimming para comprimir el abdomen. ","ÿNuestros  Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","89% Algod¢n, 9% Poli‚ster, 2% Elastano",Scenic Drive,Azul Obscuro,NO,-
283990003,28399-0003,-,-,Levi's,Women's, Misses ,B sico,Bottoms,Slimming Skinny," Pantal¢n, cintura media, pierna tipo skinny, mezclilla, tecnolog¡a tummy-slimming para comprimir el abdomen. ","ÿNuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","89% Algod¢n, 9% Poli‚ster, 2% Elastano",Forest Lodge,Azul Medio,NO,-
283990005,28399-0005,-,-,Levi's,Women's, Misses ,B sico,Bottoms,Slimming Skinny," Pantal¢n, cintura media, pierna tipo skinny, mezclilla, tecnolog¡a tummy-slimming para comprimir el abdomen. ","ÿNuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","89% Algod¢n, 9% Poli‚ster, 2% Elastano",Underwater Canyon,Azul Obscuro,NO,-
698280001,69828-0001,-,-,Levi's,Women's, Misses ,B sico,Tops,Weekend Crew,Drop,­Dale el toque final a tu look con el Weekend Crew! Se trata de un sueter de cuello redondo que se convertir  en tu mejor aliado en esta temporada.,"60% Algod¢n, 40% Poli‚ster",Floaty Floral Swim Blue,Drop,SI,-
